,precision,recall,f1-score,support
Transient,0.9971066907775769,0.9992026674398377,0.9981535787987401,13796.0
Variable,0.9977871655602495,0.992,0.9948851669842543,5000.0
accuracy,0.9972866567354757,0.9972866567354757,0.9972866567354757,0.9972866567354757
macro avg,0.9974469281689131,0.9956013337199188,0.9965193728914972,18796.0
weighted avg,0.9972877066274047,0.9972866567354757,0.9972841353494727,18796.0
