,precision,recall,f1-score,support
AGN,0.8561016013252347,0.7752,0.8136447126738389,20000.0
Fast,0.8029537504858142,0.7557799239098625,0.7786529981532432,13668.0
Long,0.7878773450147605,0.7440866984441047,0.7653561517113784,66714.0
Periodic,0.9364200521374029,0.9957560592679815,0.965176968529681,40764.0
SN,0.8246577830242219,0.8620141426605287,0.8429222790713863,84284.0
accuracy,0.8371556580756776,0.8371556580756776,0.8371556580756776,0.8371556580756776
macro avg,0.8416021063974869,0.8265673648564956,0.8331506220279055,225430.0
weighted avg,0.8354564018684387,0.8371556580756776,0.835580131534866,225430.0
