,Avg_val_loss,Avg_train_loss
0,0.239,0.272
1,0.2197,0.2113
2,0.2378,0.1849
3,0.3215,0.2234
4,0.1919,0.186
5,0.2285,0.1904
6,0.1803,0.1742
7,0.1826,0.1694
8,0.1689,0.1449
9,0.2642,0.2099
10,0.2102,0.1898
11,0.1792,0.1486
12,0.2009,0.1712
13,0.2532,0.1765
14,0.1551,0.142
15,0.2246,0.1834
16,0.156,0.148
17,0.248,0.1789
18,0.3223,0.1974
19,0.2735,0.1766
20,0.1542,0.1477
21,0.1445,0.1279
22,0.1481,0.1113
23,0.1443,0.1098
24,0.2061,0.1718
25,0.1473,0.142
26,0.1365,0.1157
27,0.1354,0.1229
28,0.1343,0.1234
29,0.138,0.1308
30,0.1757,0.1534
31,0.2802,0.1862
32,0.1343,0.1039
33,0.2256,0.2047
34,0.1929,0.1972
35,0.1628,0.1493
36,0.1315,0.0964
37,0.1266,0.1143
38,0.1264,0.1047
39,0.1286,0.0908
40,0.1707,0.1746
41,0.1263,0.0907
42,0.1242,0.1141
43,0.1228,0.0989
44,0.122,0.1058
45,0.1244,0.1197
46,0.1915,0.1745
47,0.1501,0.1436
48,0.1218,0.091
49,0.1216,0.089
50,0.1193,0.1026
51,0.1318,0.1366
52,0.125,0.1173
53,0.1182,0.1042
54,0.1195,0.0844
55,0.1187,0.0899
56,0.1168,0.1101
57,0.1212,0.1232
58,0.1246,0.1244
59,0.1316,0.1246
60,0.2819,0.1807
61,0.2442,0.1672
62,0.1147,0.1006
63,0.116,0.0809
64,0.1138,0.094
65,0.1562,0.1653
66,0.1131,0.1061
67,0.1145,0.0781
68,0.1138,0.0843
69,0.1142,0.0828
70,0.1139,0.0843
71,0.114,0.1172
72,0.1309,0.1356
73,0.1169,0.1166
74,0.1125,0.0814
75,0.1144,0.0739
76,0.1103,0.0948
77,0.114,0.0696
78,0.1125,0.0761
79,0.1141,0.1134
80,0.184,0.198
81,0.1089,0.086
82,0.1107,0.1078
83,0.1104,0.0747
84,0.1101,0.0771
85,0.1114,0.0722
86,0.1829,0.1705
87,0.1079,0.0896
88,0.1488,0.1623
89,0.1096,0.0679
90,0.1231,0.1441
91,0.1074,0.076
92,0.1123,0.1216
93,0.1061,0.0922
94,0.1065,0.0812
95,0.1094,0.065
96,0.1075,0.0775
97,0.1358,0.1552
98,0.1056,0.0824
99,0.1068,0.0737
100,0.1062,0.1055
101,0.1068,0.069
102,0.11,0.1169
103,0.1063,0.0694
104,0.1342,0.1539
105,0.104,0.0894
106,0.1047,0.0963
107,0.1048,0.0728
108,0.1073,0.1121
109,0.1046,0.0766
110,0.1059,0.066
111,0.1084,0.1178
112,0.1278,0.1396
113,0.1026,0.0874
114,0.1028,0.0896
115,0.1038,0.0957
116,0.1029,0.0899
117,0.1028,0.0901
118,0.1025,0.0854
119,0.1023,0.0887
120,0.1039,0.0653
121,0.1018,0.0797
122,0.1033,0.0688
123,0.1023,0.0897
124,0.1403,0.1551
125,0.1309,0.1437
126,0.1028,0.101
127,0.1201,0.128
128,0.1017,0.0693
129,0.1033,0.0605
130,0.1126,0.1347
131,0.1003,0.0913
132,0.1028,0.1012
133,0.1058,0.1074
134,0.101,0.0899
135,0.1562,0.1555
136,0.0998,0.0744
137,0.1102,0.1269
138,0.1277,0.1422
139,0.1344,0.1431
140,0.0986,0.0811
141,0.0998,0.0702
142,0.1198,0.1474
143,0.1023,0.1067
144,0.1001,0.0656
145,0.1004,0.061
146,0.1237,0.1973
147,0.0981,0.0703
148,0.1267,0.1534
149,0.1175,0.1398
150,0.0978,0.0683
151,0.0983,0.0698
152,0.0985,0.0678
153,0.0994,0.0601
154,0.0988,0.0991
155,0.1112,0.1277
156,0.107,0.1166
157,0.0982,0.0647
158,0.127,0.1575
159,0.0961,0.0847
160,0.1008,0.1043
161,0.0959,0.082
162,0.097,0.0676
163,0.0995,0.1006
164,0.0961,0.0761
165,0.1173,0.1443
166,0.0959,0.0749
167,0.1542,0.1894
168,0.103,0.1121
169,0.1059,0.1137
170,0.1025,0.1049
171,0.1276,0.1386
172,0.0974,0.0903
173,0.0959,0.0609
174,0.0973,0.0959
175,0.0954,0.0767
176,0.0994,0.1035
177,0.1539,0.1559
178,0.0949,0.0742
179,0.0951,0.0681
180,0.0949,0.0732
181,0.0945,0.0791
182,0.0951,0.0643
