,precision,recall,f1-score,support
AGN,0.2776135384901883,0.5963,0.3788497276005019,20000.0
CART,0.0,0.0,0.0,3517.0
Cepheid,0.0,0.0,0.0,5901.0
Delta Scuti,0.0,0.0,0.0,8849.0
Dwarf Novae,0.9555555555555556,0.0875254434428613,0.16036228023441662,3439.0
EB,0.0,0.0,0.0,20000.0
ILOT,0.04801920768307323,0.012511729746637473,0.019851116625310174,3197.0
KN,0.0,0.0,0.0,1896.0
M-dwarf Flare,0.3333333333333333,0.001256281407035176,0.0025031289111389237,796.0
PISN,0.49382716049382713,0.002,0.003983865345351327,20000.0
RR Lyrae,0.0,0.0,0.0,6014.0
SLSN,0.0,0.0,0.0,20000.0
SNI91bg,0.028733459357277884,0.018578878748370272,0.02256643737318751,12272.0
SNII,0.07142857142857142,5e-05,9.9930048965724e-05,20000.0
SNIa,0.12457696697839278,0.6221,0.20758463052872184,20000.0
SNIax,0.09192702872719648,0.364968364968365,0.14686275166661084,12012.0
SNIb/c,0.08078428240555866,0.10115,0.08982727232360907,20000.0
TDE,0.7531806615776081,0.0148,0.02902956896974452,20000.0
uLens,0.8780487804878049,0.009552872495687939,0.018900118125738285,7537.0
accuracy,0.14085969036951604,0.14085969036951604,0.14085969036951604,0.14085969036951604
macro avg,0.21773834455359936,0.09635755635836617,0.05686425409227878,225430.0
weighted avg,0.2120743825762977,0.14085969036951604,0.0753579522304272,225430.0
