,precision,recall,f1-score,support
Transient,0.8942539545412295,0.9932287175251722,0.9411463443406405,164666.0
Variable,0.9737887585509768,0.681719439141597,0.8019902616574542,60764.0
accuracy,0.9092622987180056,0.9092622987180056,0.9092622987180056,0.9092622987180056
macro avg,0.9340213565461031,0.8374740783333846,0.8715683029990473,225430.0
weighted avg,0.915692329339829,0.9092622987180056,0.9036372275054316,225430.0
