,precision,recall,f1-score,support
AGN,1.0,0.93,0.9637305699481865,100.0
CART,0.6764705882352942,0.69,0.6831683168316832,100.0
Cepheid,0.9897959183673469,0.97,0.9797979797979798,100.0
Delta Scuti,0.9705882352941176,0.99,0.9801980198019802,100.0
Dwarf Novae,0.883495145631068,0.91,0.896551724137931,100.0
EB,0.9897959183673469,0.97,0.9797979797979798,100.0
ILOT,0.9358974358974359,0.73,0.8202247191011236,100.0
KN,0.8990825688073395,0.98,0.937799043062201,100.0
M-dwarf Flare,0.8942307692307693,0.93,0.9117647058823529,100.0
PISN,0.8495575221238938,0.96,0.9014084507042254,100.0
RR Lyrae,0.97,0.97,0.97,100.0
SLSN,0.8350515463917526,0.81,0.8223350253807107,100.0
SNI91bg,0.7719298245614035,0.88,0.822429906542056,100.0
SNII,0.6341463414634146,0.52,0.5714285714285714,100.0
SNIa,0.5819672131147541,0.71,0.6396396396396397,100.0
SNIax,0.58,0.58,0.58,100.0
SNIb/c,0.5777777777777777,0.52,0.5473684210526316,100.0
TDE,0.8787878787878788,0.87,0.8743718592964824,100.0
uLens,0.96875,0.93,0.9489795918367347,100.0
accuracy,0.8342105263157895,0.8342105263157895,0.8342105263157895,0.8342105263157895
macro avg,0.8361749833711365,0.8342105263157894,0.8332102381180247,1900.0
weighted avg,0.8361749833711366,0.8342105263157895,0.8332102381180247,1900.0
