,precision,recall,f1-score,support
AGN,1.0,0.68,0.8095238095238095,100.0
CART,0.3431372549019608,0.35,0.3465346534653465,100.0
Cepheid,0.797979797979798,0.79,0.7939698492462312,100.0
Delta Scuti,0.7843137254901961,0.4,0.5298013245033113,100.0
Dwarf Novae,0.8518518518518519,0.92,0.8846153846153846,100.0
EB,0.7435897435897436,0.87,0.8018433179723502,100.0
ILOT,0.6756756756756757,0.5,0.5747126436781609,100.0
KN,0.652542372881356,0.77,0.7064220183486238,100.0
M-dwarf Flare,0.9183673469387755,0.9,0.9090909090909091,100.0
PISN,0.6666666666666666,0.72,0.6923076923076923,100.0
RR Lyrae,0.5596330275229358,0.61,0.583732057416268,100.0
SLSN,0.711340206185567,0.69,0.700507614213198,100.0
SNI91bg,0.6060606060606061,0.6,0.6030150753768844,100.0
SNII,0.37662337662337664,0.29,0.327683615819209,100.0
SNIa,0.41134751773049644,0.58,0.48132780082987553,100.0
SNIax,0.3220338983050847,0.38,0.3486238532110092,100.0
SNIb/c,0.3504273504273504,0.41,0.3778801843317972,100.0
TDE,0.5853658536585366,0.48,0.5274725274725275,100.0
uLens,0.6837606837606838,0.8,0.7373271889400922,100.0
accuracy,0.6178947368421053,0.6178947368421053,0.6178947368421053,0.6178947368421053
macro avg,0.6337219450658244,0.6178947368421054,0.6177048168611937,1900.0
weighted avg,0.6337219450658244,0.6178947368421053,0.6177048168611937,1900.0
