,precision,recall,f1-score,support
AGN,0.9900990099009901,1.0,0.9950248756218906,100.0
CART,0.6605504587155964,0.72,0.6889952153110048,100.0
Cepheid,1.0,0.99,0.9949748743718593,100.0
Delta Scuti,1.0,1.0,1.0,100.0
Dwarf Novae,0.9191919191919192,0.91,0.914572864321608,100.0
EB,1.0,0.98,0.98989898989899,100.0
ILOT,0.8842105263157894,0.84,0.8615384615384616,100.0
KN,0.941747572815534,0.97,0.9556650246305419,100.0
M-dwarf Flare,0.8878504672897196,0.95,0.9178743961352657,100.0
PISN,0.9038461538461539,0.94,0.9215686274509803,100.0
RR Lyrae,0.9801980198019802,0.99,0.9850746268656716,100.0
SLSN,0.8461538461538461,0.88,0.8627450980392157,100.0
SNI91bg,0.7964601769911505,0.9,0.8450704225352113,100.0
SNII,0.6883116883116883,0.53,0.5988700564971752,100.0
SNIa,0.6576576576576577,0.73,0.6919431279620853,100.0
SNIax,0.6132075471698113,0.65,0.6310679611650486,100.0
SNIb/c,0.6666666666666666,0.5,0.5714285714285714,100.0
TDE,0.8811881188118812,0.89,0.8855721393034826,100.0
uLens,0.9690721649484536,0.94,0.9543147208121827,100.0
accuracy,0.858421052631579,0.858421052631579,0.858421052631579,0.858421052631579
macro avg,0.8571795786625703,0.8584210526315791,0.8561157923099604,1900.0
weighted avg,0.8571795786625706,0.858421052631579,0.8561157923099605,1900.0
