,precision,recall,f1-score,support
AGN,1.0,0.84,0.9130434782608695,100.0
CART,0.532608695652174,0.49,0.5104166666666666,100.0
Cepheid,0.9578947368421052,0.91,0.9333333333333333,100.0
Delta Scuti,0.8526315789473684,0.81,0.8307692307692308,100.0
Dwarf Novae,0.883495145631068,0.91,0.896551724137931,100.0
EB,0.9292929292929293,0.92,0.9246231155778895,100.0
ILOT,0.8289473684210527,0.63,0.7159090909090909,100.0
KN,0.8818181818181818,0.97,0.9238095238095239,100.0
M-dwarf Flare,0.8932038834951457,0.92,0.9064039408866995,100.0
PISN,0.7657657657657657,0.85,0.8056872037914692,100.0
RR Lyrae,0.7959183673469388,0.78,0.7878787878787878,100.0
SLSN,0.7864077669902912,0.81,0.7980295566502463,100.0
SNI91bg,0.7363636363636363,0.81,0.7714285714285715,100.0
SNII,0.5875,0.47,0.5222222222222223,100.0
SNIa,0.5634920634920635,0.71,0.6283185840707964,100.0
SNIax,0.5,0.51,0.504950495049505,100.0
SNIb/c,0.4954128440366973,0.54,0.5167464114832536,100.0
TDE,0.75,0.72,0.7346938775510204,100.0
uLens,0.8425925925925926,0.91,0.875,100.0
accuracy,0.7636842105263157,0.7636842105263157,0.7636842105263157,0.7636842105263157
macro avg,0.7675445029835795,0.7636842105263157,0.763148200761953,1900.0
weighted avg,0.7675445029835796,0.7636842105263157,0.7631482007619532,1900.0
