,precision,recall,f1-score,support
AGN,1.0,0.98,0.98989898989899,100.0
CART,0.6822429906542056,0.73,0.7053140096618358,100.0
Cepheid,1.0,0.99,0.9949748743718593,100.0
Delta Scuti,1.0,0.98,0.98989898989899,100.0
Dwarf Novae,0.92,0.92,0.92,100.0
EB,0.99,0.99,0.99,100.0
ILOT,0.8888888888888888,0.8,0.8421052631578947,100.0
KN,0.9238095238095239,0.97,0.9463414634146341,100.0
M-dwarf Flare,0.8962264150943396,0.95,0.9223300970873787,100.0
PISN,0.8773584905660378,0.93,0.9029126213592233,100.0
RR Lyrae,0.9801980198019802,0.99,0.9850746268656716,100.0
SLSN,0.8556701030927835,0.83,0.8426395939086294,100.0
SNI91bg,0.8053097345132744,0.91,0.8544600938967136,100.0
SNII,0.6582278481012658,0.52,0.5810055865921788,100.0
SNIa,0.6271186440677966,0.74,0.6788990825688074,100.0
SNIax,0.6190476190476191,0.65,0.6341463414634146,100.0
SNIb/c,0.6666666666666666,0.52,0.5842696629213483,100.0
TDE,0.8737864077669902,0.9,0.8866995073891626,100.0
uLens,0.9690721649484536,0.94,0.9543147208121827,100.0
accuracy,0.8547368421052631,0.8547368421052631,0.8547368421052631,0.8547368421052631
macro avg,0.8544012377378856,0.8547368421052631,0.8529097644878375,1900.0
weighted avg,0.8544012377378856,0.8547368421052631,0.8529097644878377,1900.0
