,precision,recall,f1-score,support
AGN,1.0,0.6,0.75,100.0
CART,0.32407407407407407,0.35,0.33653846153846156,100.0
Cepheid,0.7978723404255319,0.75,0.7731958762886598,100.0
Delta Scuti,0.7777777777777778,0.28,0.4117647058823529,100.0
Dwarf Novae,0.7964601769911505,0.9,0.8450704225352113,100.0
EB,0.688,0.86,0.7644444444444445,100.0
ILOT,0.6486486486486487,0.48,0.5517241379310345,100.0
KN,0.6311475409836066,0.77,0.6936936936936937,100.0
M-dwarf Flare,0.9042553191489362,0.85,0.8762886597938144,100.0
PISN,0.6481481481481481,0.7,0.6730769230769231,100.0
RR Lyrae,0.4909090909090909,0.54,0.5142857142857142,100.0
SLSN,0.6938775510204082,0.68,0.6868686868686869,100.0
SNI91bg,0.5858585858585859,0.58,0.5829145728643216,100.0
SNII,0.3333333333333333,0.28,0.30434782608695654,100.0
SNIa,0.3825503355704698,0.57,0.4578313253012048,100.0
SNIax,0.3302752293577982,0.36,0.3444976076555024,100.0
SNIb/c,0.3119266055045872,0.34,0.3253588516746411,100.0
TDE,0.5625,0.45,0.5,100.0
uLens,0.609375,0.78,0.6842105263157895,100.0
accuracy,0.5852631578947368,0.5852631578947368,0.5852631578947368,0.5852631578947368
macro avg,0.6061573556711657,0.5852631578947368,0.5829532861177585,1900.0
weighted avg,0.6061573556711656,0.5852631578947368,0.5829532861177585,1900.0
