,precision,recall,f1-score,support
AGN,1.0,0.64,0.7804878048780488,100.0
CART,0.3333333333333333,0.36,0.34615384615384615,100.0
Cepheid,0.8,0.76,0.7794871794871795,100.0
Delta Scuti,0.8,0.32,0.45714285714285713,100.0
Dwarf Novae,0.8256880733944955,0.9,0.861244019138756,100.0
EB,0.7049180327868853,0.86,0.7747747747747747,100.0
ILOT,0.631578947368421,0.48,0.5454545454545454,100.0
KN,0.625,0.75,0.6818181818181818,100.0
M-dwarf Flare,0.9166666666666666,0.88,0.8979591836734694,100.0
PISN,0.6574074074074074,0.71,0.6826923076923077,100.0
RR Lyrae,0.5087719298245614,0.58,0.5420560747663551,100.0
SLSN,0.6938775510204082,0.68,0.6868686868686869,100.0
SNI91bg,0.5858585858585859,0.58,0.5829145728643216,100.0
SNII,0.32142857142857145,0.27,0.29347826086956524,100.0
SNIa,0.3916083916083916,0.56,0.4609053497942387,100.0
SNIax,0.3333333333333333,0.37,0.35071090047393366,100.0
SNIb/c,0.32432432432432434,0.36,0.3412322274881517,100.0
TDE,0.5769230769230769,0.45,0.5056179775280899,100.0
uLens,0.6370967741935484,0.79,0.7053571428571429,100.0
accuracy,0.5947368421052631,0.5947368421052631,0.5947368421052631,0.5947368421052631
macro avg,0.6140955262880006,0.594736842105263,0.5934924154591817,1900.0
weighted avg,0.6140955262880006,0.5947368421052631,0.5934924154591816,1900.0
