,precision,recall,f1-score,support
AGN,1.0,0.87,0.93048128342246,100.0
CART,0.6494845360824743,0.63,0.6395939086294417,100.0
Cepheid,0.98989898989899,0.98,0.9849246231155779,100.0
Delta Scuti,0.9789473684210527,0.93,0.9538461538461539,100.0
Dwarf Novae,0.875,0.91,0.8921568627450981,100.0
EB,0.9607843137254902,0.98,0.9702970297029703,100.0
ILOT,0.9041095890410958,0.66,0.7630057803468208,100.0
KN,0.8828828828828829,0.98,0.9289099526066351,100.0
M-dwarf Flare,0.8932038834951457,0.92,0.9064039408866995,100.0
PISN,0.8260869565217391,0.95,0.8837209302325582,100.0
RR Lyrae,0.9215686274509803,0.94,0.9306930693069307,100.0
SLSN,0.8247422680412371,0.8,0.8121827411167513,100.0
SNI91bg,0.7435897435897436,0.87,0.8018433179723502,100.0
SNII,0.6046511627906976,0.52,0.5591397849462365,100.0
SNIa,0.592,0.74,0.6577777777777778,100.0
SNIax,0.5922330097087378,0.61,0.6009852216748769,100.0
SNIb/c,0.5909090909090909,0.52,0.5531914893617021,100.0
TDE,0.82,0.82,0.82,100.0
uLens,0.9479166666666666,0.91,0.9285714285714286,100.0
accuracy,0.8178947368421052,0.8178947368421052,0.8178947368421052,0.8178947368421052
macro avg,0.8209478468013698,0.8178947368421052,0.8167223840138143,1900.0
weighted avg,0.8209478468013698,0.8178947368421052,0.8167223840138143,1900.0
