,precision,recall,f1-score,support
AGN,0.7312371235161386,0.74535,0.7382261179616699,20000.0
CART,0.09325345141964053,0.1017912994029002,0.09733550842849374,3517.0
Cepheid,0.7244042728019721,0.746992035248263,0.7355247789087268,5901.0
Delta Scuti,0.7124529354343885,0.5773533732625156,0.6378277153558053,8849.0
Dwarf Novae,0.793918918918919,0.8200058156440826,0.8067515376913174,3439.0
EB,0.9234711078147124,0.6848,0.7864258849875111,20000.0
ILOT,0.1986455981941309,0.3853612761964342,0.2621555484626024,3197.0
KN,0.35353064553717084,0.8001054852320675,0.49038306125747533,1896.0
M-dwarf Flare,0.7818659658344284,0.7474874371859297,0.7642903018625562,796.0
PISN,0.6156864882542105,0.5648,0.5891464782121156,20000.0
RR Lyrae,0.6345389507154213,0.5309278350515464,0.5781278290783994,6014.0
SLSN,0.6602121449419804,0.4637,0.5447763385907716,20000.0
SNI91bg,0.4374371353852344,0.708767926988266,0.5409876850354521,12272.0
SNII,0.4160600417583658,0.36865,0.39092282813287027,20000.0
SNIa,0.39506762132060463,0.4966,0.44005316792202037,20000.0
SNIax,0.2458326221767082,0.3597236097236097,0.29206799824259017,12012.0
SNIb/c,0.27731000546746853,0.2536,0.2649255680334291,20000.0
TDE,0.7220652761916211,0.60065,0.6557851352457897,20000.0
uLens,0.8791910590739755,0.6575560567865198,0.7523910733262487,7537.0
accuracy,0.5357317127267888,0.5357317127267888,0.5357317127267888,0.5357317127267888
macro avg,0.5576937560398468,0.5586432710906387,0.5456897135124129,225430.0
weighted avg,0.5729101761549796,0.5357317127267888,0.5455247911935196,225430.0
