,precision,recall,f1-score,support
AGN,0.5988173199100773,0.61265,0.6056546883495626,20000.0
CART,0.06995100707675558,0.0730736423087859,0.07147823668474482,3517.0
Cepheid,0.5622876557191393,0.3365531265887138,0.42107494964486375,5901.0
Delta Scuti,0.5507905138339921,0.3149508419030399,0.40074771730534187,8849.0
Dwarf Novae,0.6624666828204507,0.7949985460889794,0.7227068464181866,3439.0
EB,0.833859649122807,0.4753,0.6054777070063694,20000.0
ILOT,0.14911392405063292,0.3684704410384736,0.21230963323420746,3197.0
KN,0.10821256038647344,0.35443037974683544,0.16580310880829016,1896.0
M-dwarf Flare,0.717741935483871,0.5590452261306532,0.6285310734463276,796.0
PISN,0.4062969881988427,0.44585,0.42515555343647937,20000.0
RR Lyrae,0.4678456591639871,0.24193548387096775,0.31893906181499343,6014.0
SLSN,0.6127527216174183,0.3743,0.46472359313405964,20000.0
SNI91bg,0.2856060247241036,0.4913624511082138,0.3612400778792871,12272.0
SNII,0.25571760026516405,0.3086,0.2796809860431394,20000.0
SNIa,0.2812092100454237,0.2693,0.275125788573034,20000.0
SNIax,0.17150348069794774,0.31585081585081587,0.2223003456963731,12012.0
SNIb/c,0.16262655763239875,0.16705,0.16480860299921074,20000.0
TDE,0.5755123648188762,0.3805,0.4581163651687084,20000.0
uLens,0.8354508196721312,0.5409314050683296,0.6566803575742933,7537.0
accuracy,0.38187463957769596,0.38187463957769596,0.38187463957769596,0.38187463957769596
macro avg,0.4372506671179207,0.3907974926159899,0.3926607733272354,225430.0
weighted avg,0.4488345736486319,0.38187463957769596,0.3983806947300661,225430.0
