,precision,recall,f1-score,support
AGN,0.947618590359132,0.98685,0.9668364847653571,20000.0
CART,0.22038567493112948,0.2502132499289167,0.23435419440745672,3517.0
Cepheid,0.9834031852472758,0.9940688018979834,0.9887072307433001,5901.0
Delta Scuti,0.980483907783611,0.9708441631822805,0.9756402248594629,8849.0
Dwarf Novae,0.8801891749868629,0.9741203838325094,0.9247757073844031,3439.0
EB,0.9907209136331192,0.9716,0.981067299439592,20000.0
ILOT,0.55562855891371,0.7935564591804817,0.653613293829705,3197.0
KN,0.682752832563995,0.8581223628691983,0.7604580509464828,1896.0
M-dwarf Flare,0.7943820224719101,0.8881909547738693,0.8386714116251482,796.0
PISN,0.9290973272818961,0.9212,0.9251318101933216,20000.0
RR Lyrae,0.9726510067114094,0.9639175257731959,0.9682645732420244,6014.0
SLSN,0.8417663293468262,0.8235,0.8325329828640752,20000.0
SNI91bg,0.6011901254934308,0.8314863102998696,0.697828688664729,12272.0
SNII,0.7116493656286044,0.4936,0.5829003306565895,20000.0
SNIa,0.6291833269430903,0.57435,0.600517552343362,20000.0
SNIax,0.3580797481636936,0.5681818181818182,0.4393022657054583,12012.0
SNIb/c,0.5803682781894212,0.39555,0.4704588028901906,20000.0
TDE,0.9113994910941475,0.89545,0.9033543505674653,20000.0
uLens,0.918200408997955,0.9531643890141966,0.9353557711086518,7537.0
accuracy,0.77545135962383,0.77545135962383,0.77545135962383,0.77545135962383
macro avg,0.7625868562495379,0.7951561273123327,0.7726195276966724,225430.0
weighted avg,0.7863626602156432,0.77545135962383,0.774701264401878,225430.0
