,precision,recall,f1-score,support
AGN,0.8614031639972487,0.87665,0.8689597065966199,20000.0
CART,0.12657613967022308,0.07421097526300825,0.09356515504570712,3517.0
Cepheid,0.9203724514368278,0.9715302491103203,0.9452596867271228,5901.0
Delta Scuti,0.8982704780206582,0.8451802463555204,0.8709170305676855,8849.0
Dwarf Novae,0.9113168109883547,0.8874672870020355,0.8992339422510313,3439.0
EB,0.9706223424816389,0.87885,0.92245926159175,20000.0
ILOT,0.3369002416292717,0.6105724116359087,0.4342119897675453,3197.0
KN,0.4974123059229442,0.9124472573839663,0.6438407145515445,1896.0
M-dwarf Flare,0.8331071913161465,0.7713567839195979,0.8010437051532941,796.0
PISN,0.8210505587554768,0.8339,0.8274253962741548,20000.0
RR Lyrae,0.8533538672142368,0.8292317924842035,0.841119919041997,6014.0
SLSN,0.7837954939341422,0.63315,0.7004646531695984,20000.0
SNI91bg,0.5872395833333334,0.8085071707953064,0.6803346132748217,12272.0
SNII,0.6082929782082325,0.50245,0.5503285870755751,20000.0
SNIa,0.5455639097744361,0.6349,0.5868515309069902,20000.0
SNIax,0.35229841748304447,0.46703296703296704,0.4016323024054983,12012.0
SNIb/c,0.48379021918310033,0.3962,0.4356359438137387,20000.0
TDE,0.889744395558349,0.84935,0.8690780722398445,20000.0
uLens,0.9519187016532686,0.8326920525407987,0.8883227176220807,7537.0
accuracy,0.7085348001596948,0.7085348001596948,0.7085348001596948,0.7085348001596948
macro avg,0.6964752237137334,0.7166146943959806,0.6979307856882421,225430.0
weighted avg,0.7216110217276386,0.7085348001596948,0.7102164975724212,225430.0
