,precision,recall,f1-score,support
AGN,0.9434992750120831,0.97605,0.9594986483165396,20000.0
CART,0.17069618409554327,0.16661927779357408,0.16863309352517986,3517.0
Cepheid,0.9819156061620897,0.9937298762921539,0.9877874168280973,5901.0
Delta Scuti,0.9666666666666667,0.9602214939541192,0.9634333012075514,8849.0
Dwarf Novae,0.9040906578220012,0.95114858970631,0.9270228142270086,3439.0
EB,0.987411728584587,0.9648,0.9759749127509989,20000.0
ILOT,0.5450756744900197,0.777291210509853,0.6407942238267148,3197.0
KN,0.6215500945179584,0.8670886075949367,0.7240695881964325,1896.0
M-dwarf Flare,0.8020954598370198,0.8655778894472361,0.8326283987915408,796.0
PISN,0.9159078469423297,0.92035,0.9181235503903035,20000.0
RR Lyrae,0.9627891384512236,0.9551047555703359,0.9589315525876461,6014.0
SLSN,0.8563396778916544,0.7311,0.7887795010114632,20000.0
SNI91bg,0.5983275831822701,0.833767926988266,0.6966942430122902,12272.0
SNII,0.6745194874532835,0.50535,0.5778069974845643,20000.0
SNIa,0.6058640373637779,0.58375,0.5946014769544181,20000.0
SNIax,0.35218442854937476,0.5697635697635698,0.4352997296867547,12012.0
SNIb/c,0.5534890128814494,0.40175,0.46556769128255643,20000.0
TDE,0.9152876484930228,0.8822,0.8984392901698195,20000.0
uLens,0.93238621415417,0.9404272256866127,0.9363894576920536,7537.0
accuracy,0.7640997205340904,0.7640997205340904,0.7640997205340904,0.7640997205340904
macro avg,0.752110338028975,0.7813731801740509,0.7605513625232596,225430.0
weighted avg,0.7765357583165857,0.7640997205340904,0.7647552292317793,225430.0
