,precision,recall,f1-score,support
AGN,0.6336208997416777,0.65,0.6417059505886418,20000.0
CART,0.07858048162230671,0.08814330395223202,0.08308764406325382,3517.0
Cepheid,0.5907838717756073,0.3997627520759193,0.47685465938952903,5901.0
Delta Scuti,0.584534967555876,0.3664820883715674,0.4505105230256303,8849.0
Dwarf Novae,0.6830057228166211,0.7981971503343995,0.7361222847948512,3439.0
EB,0.8617630454068876,0.53425,0.6595882588968796,20000.0
ILOT,0.1625970359915314,0.36033781670315923,0.22408091810931724,3197.0
KN,0.17092561044860874,0.4762658227848101,0.2515670706226494,1896.0
M-dwarf Flare,0.7625368731563422,0.6494974874371859,0.7014925373134329,796.0
PISN,0.44241379310344825,0.44905,0.44570719602977665,20000.0
RR Lyrae,0.49330051955154497,0.29996674426338543,0.37307413917898874,6014.0
SLSN,0.6243425378040762,0.37985,0.47233275304650585,20000.0
SNI91bg,0.32654867256637166,0.571300521512386,0.4155651710034971,12272.0
SNII,0.2872212454890349,0.3104,0.2983611284663815,20000.0
SNIa,0.30448632864348285,0.3441,0.32308342331345946,20000.0
SNIax,0.18915286777057835,0.3280885780885781,0.23996103144883854,12012.0
SNIb/c,0.1785805398234604,0.175,0.176772140710624,20000.0
TDE,0.6168782673637042,0.4543,0.5232514613147513,20000.0
uLens,0.8432551613549809,0.5581796470744328,0.6717228165415935,7537.0
accuracy,0.41756199263629507,0.41756199263629507,0.41756199263629507,0.41756199263629507
macro avg,0.4649751811571654,0.43121957434726604,0.4297284793609791,225430.0
weighted avg,0.47608052611904084,0.41756199263629507,0.4324211211579829,225430.0
