,precision,recall,f1-score,support
AGN,0.7031982942430703,0.6596,0.6807017543859649,20000.0
Fast,0.7695616211745244,0.6807140766754463,0.7224163366721019,13668.0
Long,0.7306206298648674,0.581077435021135,0.6473245222212017,66714.0
Periodic,0.9288872756071805,0.6905357668531057,0.7921708785951483,40764.0
SN,0.6701313648093367,0.8842722224858811,0.7624513429598826,84284.0
accuracy,0.7272368362684647,0.7272368362684647,0.7272368362684647,0.7272368362684647
macro avg,0.7604798371397958,0.6992399002071136,0.7210129669668599,225430.0
weighted avg,0.7437850848525964,0.7272368362684647,0.7240745794166802,225430.0
