,precision,recall,f1-score,support
AGN,0.946216203096937,0.97465,0.9602226546144184,20000.0
Fast,0.9221343043204258,0.963491366695932,0.9423592972914953,13668.0
Long,0.9304283277528587,0.8830380429894775,0.9061139736983773,66714.0
Periodic,0.989905753968254,0.9791237366303601,0.9844852251985595,40764.0
SN,0.9108868740795287,0.9392885957002516,0.924869739947195,84284.0
accuracy,0.934449718316107,0.934449718316107,0.934449718316107,0.934449718316107
macro avg,0.9399142926436008,0.9479183484032043,0.9436101781500092,225430.0
weighted avg,0.9347751348124714,0.934449718316107,0.9342961650653664,225430.0
