,precision,recall,f1-score,support
AGN,0.6324318345224269,0.57175,0.6005619600325621,20000.0
Fast,0.7375873649813924,0.5945273631840796,0.6583755316994127,13668.0
Long,0.6689929823883078,0.5187067182300567,0.5843415709087225,66714.0
Periodic,0.9137772812512469,0.5618192522814248,0.6958239020462728,40764.0
SN,0.6190125646216392,0.8779602296995871,0.7260899002090018,84284.0
accuracy,0.6701237634742492,0.6701237634742492,0.6701237634742492,0.6701237634742492
macro avg,0.7143604055530026,0.6249527126790297,0.6530385729791943,225430.0
weighted avg,0.6954852979264687,0.6701237634742492,0.6634254811770975,225430.0
