,precision,recall,f1-score,support
AGN,1.0,0.87,0.93048128342246,100.0
Fast,0.9707317073170731,0.995,0.9827160493827161,400.0
Long,0.9311827956989247,0.866,0.8974093264248705,500.0
Periodic,1.0,0.995,0.9974937343358395,400.0
SN,0.8759259259259259,0.946,0.9096153846153846,500.0
accuracy,0.9415789473684211,0.9415789473684211,0.9415789473684211,0.9415789473684211
macro avg,0.9555680857883848,0.9343999999999999,0.9435431556362541,1900.0
weighted avg,0.9430773914417128,0.9415789473684211,0.94139178807884,1900.0
