,precision,recall,f1-score,support
AGN,1.0,0.83,0.907103825136612,100.0
Fast,0.9449760765550239,0.9875,0.9657701711491442,400.0
Long,0.9039301310043668,0.828,0.8643006263048016,500.0
Periodic,0.9948586118251928,0.9675,0.9809885931558935,400.0
SN,0.8405797101449275,0.928,0.8821292775665399,500.0
accuracy,0.9173684210526316,0.9173684210526316,0.9173684210526316,0.9173684210526316
macro avg,0.9368689059059022,0.9081999999999999,0.9200584986625984,1900.0
weighted avg,0.9200993662772283,0.9173684210526316,0.917173073774393,1900.0
