,precision,recall,f1-score,support
AGN,1.0,0.95,0.9743589743589743,100.0
Fast,0.980246913580247,0.9925,0.986335403726708,400.0
Long,0.9581497797356828,0.87,0.9119496855345912,500.0
Periodic,1.0,0.995,0.9974937343358395,400.0
SN,0.8795620437956204,0.964,0.9198473282442748,500.0
accuracy,0.9510526315789474,0.9510526315789474,0.9510526315789474,0.9510526315789474
macro avg,0.9635917474223101,0.9542999999999999,0.9579970252400777,1900.0
weighted avg,0.953134040630395,0.9510526315789474,0.9509821366054473,1900.0
