,precision,recall,f1-score,support
AGN,0.8012559658377292,0.79745,0.7993484525748653,20000.0
CART,0.11464702612562534,0.2345749218083594,0.15401848221786615,3517.0
Cepheid,0.6137833705750911,0.8844263684121335,0.7246598167175784,5901.0
Delta Scuti,0.4870934434692824,0.4264888687987343,0.4547809845152738,8849.0
Dwarf Novae,0.9095371669004207,0.7542890375109044,0.8246701637259577,3439.0
EB,0.8736169549633785,0.8409,0.856946319838985,20000.0
ILOT,0.2941542288557214,0.44385361276196433,0.35382121929933924,3197.0
KN,0.254006968641115,0.7689873417721519,0.3818753273965427,1896.0
M-dwarf Flare,0.4861006761833208,0.8128140703517588,0.608368594264222,796.0
PISN,0.7060594829982396,0.76205,0.7329870629538787,20000.0
RR Lyrae,0.40148603638227004,0.5211173927502494,0.45354558610709117,6014.0
SLSN,0.6960763177751428,0.64575,0.6699693935778389,20000.0
SNI91bg,0.4946500709684463,0.7383474576271186,0.5924158221641059,12272.0
SNII,0.43664509787861416,0.26655,0.33102548976994006,20000.0
SNIa,0.43907213060136596,0.52715,0.47909661001545034,20000.0
SNIax,0.30060967160870167,0.36122211122211123,0.32814036149134085,12012.0
SNIb/c,0.38624703269775634,0.2522,0.3051513959889894,20000.0
TDE,0.6125588697017268,0.3902,0.47672571777642025,20000.0
uLens,0.8996643043640433,0.640042457211092,0.7479649585239165,7537.0
accuracy,0.5630971920330036,0.5630971920330036,0.5630971920330036,0.5630971920330036
macro avg,0.5372244640277891,0.5825480863277147,0.5408164083641895,225430.0
weighted avg,0.5819078865256497,0.5630971920330036,0.561680142635497,225430.0
