,precision,recall,f1-score,support
AGN,0.9989010989010989,0.909,0.9518324607329843,1000.0
CART,0.4785714285714286,0.335,0.3941176470588235,1000.0
Cepheid,0.9754420432220039,0.993,0.9841427155599604,1000.0
Delta Scuti,0.975609756097561,0.96,0.967741935483871,1000.0
Dwarf Novae,0.8608695652173913,0.792,0.825,1000.0
EB,0.9704545454545455,0.854,0.9085106382978724,1000.0
ILOT,0.8337531486146096,0.662,0.738015607580825,1000.0
KN,0.6601590744757773,0.913,0.766261015526647,1000.0
M-dwarf Flare,0.6546929316338355,0.7097989949748744,0.6811332127787824,796.0
PISN,0.8435923309788093,0.836,0.8397790055248618,1000.0
RR Lyrae,0.9668674698795181,0.963,0.9649298597194389,1000.0
SLSN,0.6794493608652901,0.691,0.6851760039662865,1000.0
SNI91bg,0.6149019607843137,0.784,0.6892307692307692,1000.0
SNII,0.34074074074074073,0.46,0.39148936170212767,1000.0
SNIa,0.5404624277456648,0.561,0.55053974484789,1000.0
SNIax,0.4760820045558087,0.418,0.44515441959531415,1000.0
SNIb/c,0.4851228978007762,0.375,0.4230118443316413,1000.0
TDE,0.6827225130890052,0.652,0.6670076726342711,1000.0
uLens,0.7170868347338936,0.768,0.7416706904876871,1000.0
accuracy,0.7177590976803575,0.7177590976803575,0.7177590976803575,0.7177590976803575
macro avg,0.7239727438611617,0.7176736313144672,0.7165655055294767,18796.0
weighted avg,0.7247246635086598,0.7177590976803575,0.7169500654210034,18796.0
