,precision,recall,f1-score,support
AGN,0.9692218068838293,0.99825,0.9835217616197444,20000.0
CART,0.34379746835443037,0.38612453795848733,0.3637337618856301,3517.0
Cepheid,0.9865636546859254,0.9954245043213015,0.9909742724588781,5901.0
Delta Scuti,0.9899503161698283,0.9907334162052209,0.9903417113809658,8849.0
Dwarf Novae,0.9292288162488099,0.8514102936900262,0.888619119878604,3439.0
EB,0.9626040804401811,0.98845,0.9753558477440363,20000.0
ILOT,0.6685,0.8364091335627151,0.7430873975267472,3197.0
KN,0.7002379064234734,0.9314345991561181,0.7994567677682209,1896.0
M-dwarf Flare,0.5787304204451772,0.8819095477386935,0.6988551518168243,796.0
PISN,0.9416857398746143,0.9463,0.9439872312833558,20000.0
RR Lyrae,0.9761786600496278,0.9812105088127702,0.9786881167592669,6014.0
SLSN,0.8915773824780848,0.8696,0.8804515655453464,20000.0
SNI91bg,0.760199142580556,0.8958604954367666,0.8224732550310466,12272.0
SNII,0.7274566668914818,0.5393,0.6194044850259856,20000.0
SNIa,0.7015847934191569,0.7548,0.7272201748681263,20000.0
SNIax,0.49745171673819744,0.6175491175491176,0.5510325360273362,12012.0
SNIb/c,0.63234190008663,0.54745,0.5868417526463888,20000.0
TDE,0.9193539929736249,0.87665,0.89749430523918,20000.0
uLens,0.9704090513489991,0.8876210693910044,0.9271706742429492,7537.0
accuracy,0.8228186133167724,0.8228186133167724,0.8228186133167724,0.8228186133167724
macro avg,0.7972143955838226,0.8303414328327484,0.8088794678288754,225430.0
weighted avg,0.8264997724186649,0.8228186133167724,0.8218340403492704,225430.0
