,precision,recall,f1-score,support
AGN,0.8981623970308681,0.9922,0.9428422102912529,20000.0
CART,0.2085739671257219,0.2669889110036963,0.2341937897493453,3517.0
Cepheid,0.9805630026809652,0.9916963226571768,0.9860982391102873,5901.0
Delta Scuti,0.9768197088465845,0.9857611029494858,0.9812700376849092,8849.0
Dwarf Novae,0.8212375859434683,0.6251817388775807,0.709922403830279,3439.0
EB,0.8970363155697788,0.96705,0.9307283270373667,20000.0
ILOT,0.5884344881479552,0.7065999374413513,0.6421262080727687,3197.0
KN,0.39797150446751994,0.869198312236287,0.5459665396720226,1896.0
M-dwarf Flare,0.3185840707964602,0.7236180904522613,0.4423963133640553,796.0
PISN,0.9191248898335839,0.88645,0.902491791595612,20000.0
RR Lyrae,0.9608617003782273,0.9715663451945461,0.9661843737081438,6014.0
SLSN,0.8003068268984914,0.7825,0.7913032486411326,20000.0
SNI91bg,0.6248931754364546,0.8341753585397653,0.714525022684442,12272.0
SNII,0.6290989886607417,0.41055,0.49685344305942153,20000.0
SNIa,0.5753613214039918,0.6688,0.6185719570847207,20000.0
SNIax,0.4188554050317943,0.5044955044955045,0.45770392749244715,12012.0
SNIb/c,0.5542328879883492,0.43765,0.48909004553963065,20000.0
TDE,0.8698272151509562,0.7073,0.7801891735377657,20000.0
uLens,0.934395340870161,0.7237627703330237,0.8157009345794393,7537.0
accuracy,0.739883777669343,0.739883777669343,0.739883777669343,0.739883777669343
macro avg,0.7039126732769511,0.739765494430562,0.7077977887755286,225430.0
weighted avg,0.7508383955526077,0.739883777669343,0.7384733613459422,225430.0
