,precision,recall,f1-score,support
AGN,0.9780693166242412,0.999,0.9884238646482636,20000.0
CART,0.37526156707742386,0.4589138470287177,0.4128933231005372,3517.0
Cepheid,0.9880612073314277,0.995763429927131,0.9918973666441594,5901.0
Delta Scuti,0.9909624943515589,0.9912984518024636,0.9911304446076493,8849.0
Dwarf Novae,0.941609977324263,0.9659784821168944,0.9536385818860341,3439.0
EB,0.9928039578231972,0.99335,0.9930769038514409,20000.0
ILOT,0.6842622145838448,0.8717547700969659,0.7667125171939477,3197.0
KN,0.817607223476298,0.955168776371308,0.8810508392118706,1896.0
M-dwarf Flare,0.8796630565583634,0.9183417085427136,0.8985863552550707,796.0
PISN,0.9514958751615148,0.9573,0.9543891132047256,20000.0
RR Lyrae,0.9805518617021277,0.9808779514466246,0.9807148794679966,6014.0
SLSN,0.912485414235706,0.8993,0.905844728160963,20000.0
SNI91bg,0.7951910691283813,0.9054758800521513,0.8467576011582717,12272.0
SNII,0.7512464627408705,0.5575,0.6400321451122208,20000.0
SNIa,0.7441848856943196,0.74545,0.7448169056302143,20000.0
SNIax,0.49801714212613535,0.6481851481851482,0.5632641250090429,12012.0
SNIb/c,0.6492455969250186,0.56585,0.6046859554914376,20000.0
TDE,0.9241434342426812,0.9265,0.9253202167236773,20000.0
uLens,0.9772513124242832,0.9632479766485339,0.9701991180008018,7537.0
accuracy,0.8421904804152065,0.8421904804152065,0.8421904804152065,0.8421904804152065
macro avg,0.8332691615542976,0.8578556011694026,0.8428123675978064,225430.0
weighted avg,0.8458164261531174,0.8421904804152065,0.8414668866509475,225430.0
