,precision,recall,f1-score,support
AGN,0.9686709958855897,0.97705,0.9728424563761731,20000.0
CART,0.30280112044817925,0.3073642308785897,0.30506561309439817,3517.0
Cepheid,0.9601711652402897,0.988645992204711,0.9742005510561911,5901.0
Delta Scuti,0.929022256671465,0.9481297321731269,0.9384787472035794,8849.0
Dwarf Novae,0.9381797366914711,0.9531840651352137,0.9456223856916198,3439.0
EB,0.9844607415764911,0.9598,0.9719739740246589,20000.0
ILOT,0.5206017004578156,0.7469502658742572,0.6135662898252826,3197.0
KN,0.7572373862696443,0.9657172995780591,0.8488641631896152,1896.0
M-dwarf Flare,0.8481012658227848,0.9258793969849246,0.8852852852852853,796.0
PISN,0.8963337547408344,0.9217,0.9088399151999211,20000.0
RR Lyrae,0.8737925574030088,0.9175257731958762,0.8951253142996188,6014.0
SLSN,0.9086033774532177,0.7963,0.8487529311447453,20000.0
SNI91bg,0.7802738553701326,0.8915417209908736,0.8322050657944778,12272.0
SNII,0.6963318178987358,0.55905,0.6201847075463849,20000.0
SNIa,0.6908267270668177,0.7625,0.7248960190136661,20000.0
SNIax,0.4928,0.5897435897435898,0.5369310645393565,12012.0
SNIb/c,0.6135863586358636,0.55775,0.5843373493975904,20000.0
TDE,0.9234691223141356,0.8875,0.9051273552433645,20000.0
uLens,0.9643341470029835,0.9434788377338463,0.953792502179599,7537.0
accuracy,0.8101228762808854,0.8101228762808854,0.8101228762808854,0.8101228762808854
macro avg,0.7920841098394452,0.8210426791838457,0.803478510005554,225430.0
weighted avg,0.8145201665683891,0.8101228762808854,0.8101296207391728,225430.0
