,precision,recall,f1-score,support
AGN,0.9528964017398182,0.96395,0.9583913302843508,20000.0
CART,0.25494615577260205,0.28945123684958773,0.2711051930758988,3517.0
Cepheid,0.9216159665218091,0.970344009489917,0.9453524847284134,5901.0
Delta Scuti,0.8589188589188589,0.8744490902926885,0.8666144025086796,8849.0
Dwarf Novae,0.9339080459770115,0.9450421634195987,0.9394421159127041,3439.0
EB,0.975598261507043,0.93155,0.9530654525922705,20000.0
ILOT,0.42992623814541625,0.6380982170785111,0.5137245026441702,3197.0
KN,0.726027397260274,0.95042194092827,0.8232069438099588,1896.0
M-dwarf Flare,0.8329493087557603,0.9082914572864321,0.8689903846153846,796.0
PISN,0.8611843086560931,0.86605,0.8636103008999576,20000.0
RR Lyrae,0.7524811139090505,0.8446957100099767,0.7959263611437525,6014.0
SLSN,0.8630744498032041,0.77845,0.8185809300980572,20000.0
SNI91bg,0.7443624577615336,0.8795632333767927,0.8063347402233594,12272.0
SNII,0.6591913462172679,0.4997,0.5684707488410454,20000.0
SNIa,0.6543671387105287,0.74395,0.6962890168000374,20000.0
SNIax,0.4679013249396091,0.5321345321345321,0.49795505005258445,12012.0
SNIb/c,0.5774486851418305,0.5303,0.5528709568118435,20000.0
TDE,0.8810848400556328,0.82355,0.8513464619837701,20000.0
uLens,0.9485314301399945,0.9169430808013799,0.9324698104297375,7537.0
accuracy,0.7728518830679146,0.7728518830679146,0.7728518830679146,0.7728518830679146
macro avg,0.7524428278912283,0.7835228774561941,0.7644077467082092,225430.0
weighted avg,0.7784593542154016,0.7728518830679146,0.7730573316064018,225430.0
