,precision,recall,f1-score,support
AGN,0.9100792048454729,0.879,0.894269654347992,20000.0
CART,0.154235807860262,0.25106624964458346,0.19108418091322224,3517.0
Cepheid,0.730089102124743,0.9025588883240129,0.8072143073658684,5901.0
Delta Scuti,0.6493571339408314,0.5878630353712284,0.6170818505338078,8849.0
Dwarf Novae,0.9081848384173966,0.8743820878162256,0.890962962962963,3439.0
EB,0.9205312198779051,0.8595,0.8889693334022858,20000.0
ILOT,0.3299825174825175,0.4723177979355646,0.38852437926154637,3197.0
KN,0.36664199358499877,0.7837552742616034,0.4995797613044209,1896.0
M-dwarf Flare,0.7144340602284528,0.864321608040201,0.7822626492325184,796.0
PISN,0.7630753667172484,0.7543,0.7586623082725673,20000.0
RR Lyrae,0.46862420080511485,0.6581310276022614,0.5474412171507608,6014.0
SLSN,0.7796193265007321,0.6656,0.718111935266352,20000.0
SNI91bg,0.5786549707602339,0.8063070404172099,0.6737709383085932,12272.0
SNII,0.47167413550933046,0.3526,0.4035363795027324,20000.0
SNIa,0.500359818820641,0.591,0.54191596176329,20000.0
SNIax,0.3387707343932824,0.40975690975690976,0.3708978561470932,12012.0
SNIb/c,0.43570977917981074,0.3453,0.38527196652719664,20000.0
TDE,0.7132540621303617,0.57285,0.635388070875967,20000.0
uLens,0.8978353558543785,0.7264163460262704,0.8030803080308031,7537.0
accuracy,0.6332564432418045,0.6332564432418045,0.6332564432418045,0.6332564432418045
macro avg,0.6121638752123008,0.6503698034313722,0.6209487379563148,225430.0
weighted avg,0.6506712773839384,0.6332564432418045,0.6359551626556578,225430.0
