,precision,recall,f1-score,support
AGN,0.9744915378237331,0.999,0.9865935856603214,20000.0
CART,0.3594739405747686,0.41967586010804664,0.3872491145218418,3517.0
Cepheid,0.9875672043010753,0.9961023555329606,0.9918164177845271,5901.0
Delta Scuti,0.9890580936266216,0.9908464233246694,0.9899514508298521,8849.0
Dwarf Novae,0.9420555047270509,0.8982262285548125,0.9196189342066091,3439.0
EB,0.9776200335206546,0.9916,0.9845603931887008,20000.0
ILOT,0.6843687374749499,0.8545511416953394,0.7600500765057727,3197.0
KN,0.7772963604852686,0.9462025316455697,0.8534728829686014,1896.0
M-dwarf Flare,0.697495183044316,0.9095477386934674,0.7895310796074155,796.0
PISN,0.9465073620544345,0.9546,0.9505364566478305,20000.0
RR Lyrae,0.979101011776414,0.9815430661789158,0.9803205181433198,6014.0
SLSN,0.9061956855127288,0.88635,0.8961629846822708,20000.0
SNI91bg,0.7801368413627707,0.901238591916558,0.836326515180158,12272.0
SNII,0.7409598064255949,0.5512,0.632146338666208,20000.0
SNIa,0.724124718616792,0.75595,0.739695198023435,20000.0
SNIax,0.5012931892035281,0.6292873792873793,0.5580451072311838,12012.0
SNIb/c,0.6386000795409352,0.562,0.5978564399882982,20000.0
TDE,0.9241361658561557,0.90265,0.9132667256861009,20000.0
uLens,0.9735744089012517,0.9287514926363275,0.9506348883004007,7537.0
accuracy,0.8341835603069689,0.8341835603069689,0.8341835603069689,0.8341835603069689
macro avg,0.8160029402541603,0.8452275162933708,0.8272544793590972,225430.0
weighted avg,0.8373992791082844,0.8341835603069689,0.8333293135907547,225430.0
