,precision,recall,f1-score,support
AGN,0.9979959919839679,0.996,0.996996996996997,1000.0
CART,0.6662087912087912,0.485,0.5613425925925926,1000.0
Cepheid,0.9881188118811881,0.998,0.9930348258706467,1000.0
Delta Scuti,0.9938837920489296,0.975,0.9843513377082281,1000.0
Dwarf Novae,0.9546961325966851,0.864,0.9070866141732283,1000.0
EB,0.9755351681957186,0.957,0.9661786976274609,1000.0
ILOT,0.9150326797385621,0.84,0.8759124087591241,1000.0
KN,0.8648648648648649,0.96,0.909952606635071,1000.0
M-dwarf Flare,0.7789150460593655,0.9560301507537688,0.8584320360970107,796.0
PISN,0.8974358974358975,0.945,0.9206039941548952,1000.0
RR Lyrae,0.9754178957718781,0.992,0.9836390679226574,1000.0
SLSN,0.8427991886409736,0.831,0.8368580060422961,1000.0
SNI91bg,0.7705207413945278,0.873,0.8185654008438819,1000.0
SNII,0.5290697674418605,0.546,0.5374015748031497,1000.0
SNIa,0.651705565529623,0.726,0.6868495742667928,1000.0
SNIax,0.5678137651821862,0.561,0.5643863179074446,1000.0
SNIb/c,0.5565312843029637,0.507,0.5306122448979592,1000.0
TDE,0.8379942140790743,0.869,0.8532155130093274,1000.0
uLens,0.9214830970556162,0.845,0.881585811163276,1000.0
accuracy,0.8262928282613322,0.8262928282613322,0.8262928282613322,0.8262928282613322
macro avg,0.8255801418638249,0.8276857974080931,0.8245792432353705,18796.0
weighted avg,0.8260866155573826,0.8262928282613322,0.8242118262453844,18796.0
