,precision,recall,f1-score,support
AGN,0.9775397373876987,0.99015,0.9838044612250981,20000.0
CART,0.338456809099293,0.31305089564970145,0.3252584933530281,3517.0
Cepheid,0.9804413239719157,0.9938993390950687,0.9871244635193133,5901.0
Delta Scuti,0.9680071095312153,0.9847440388744491,0.9763038485238922,8849.0
Dwarf Novae,0.9427590154550658,0.9578365804012794,0.950237992211164,3439.0
EB,0.9909646156175862,0.9816,0.9862600788726734,20000.0
ILOT,0.6518350930115636,0.8110728808257741,0.7227874564459931,3197.0
KN,0.7939764295067656,0.9593881856540084,0.8688798662526869,1896.0
M-dwarf Flare,0.8624708624708625,0.9296482412060302,0.8948004836759371,796.0
PISN,0.9286970970579611,0.95015,0.939301072611339,20000.0
RR Lyrae,0.9534616017102451,0.9640838044562687,0.9587432823480777,6014.0
SLSN,0.9313769498372798,0.82995,0.8777431124742213,20000.0
SNI91bg,0.7970022339122289,0.901238591916558,0.8459214501510574,12272.0
SNII,0.7088461771660705,0.58455,0.6407256186117886,20000.0
SNIa,0.7076500270318976,0.78535,0.7444781495876387,20000.0
SNIax,0.510370575221239,0.6145521145521146,0.5576371053029159,12012.0
SNIb/c,0.6278504268885767,0.58095,0.6034903651379006,20000.0
TDE,0.9388350526206106,0.901,0.9195284992600908,20000.0
uLens,0.9730021598272138,0.9563486798460926,0.9646035463365674,7537.0
accuracy,0.8324003016457436,0.8324003016457436,0.8324003016457436,0.8324003016457436
macro avg,0.8201864893329099,0.8415559659198601,0.8288225971527045,225430.0
weighted avg,0.835177317631047,0.8324003016457436,0.8320487815746733,225430.0
