,precision,recall,f1-score,support
AGN,0.8978955572876072,0.864,0.8806217352528984,20000.0
CART,0.1446379781420765,0.24083025305658232,0.18073188946975355,3517.0
Cepheid,0.7163350927053729,0.8969666158278258,0.7965387509405568,5901.0
Delta Scuti,0.6350507416081187,0.5515877500282518,0.5903840338675537,8849.0
Dwarf Novae,0.9036585365853659,0.861878453038674,0.8822741479386813,3439.0
EB,0.9103750869495425,0.8507,0.8795264803949443,20000.0
ILOT,0.319598633646456,0.4682514857679074,0.3799010277883517,3197.0
KN,0.3007837322601144,0.7489451476793249,0.429197521535439,1896.0
M-dwarf Flare,0.6656891495601173,0.8555276381909548,0.7487630566245189,796.0
PISN,0.7496909459526282,0.75805,0.7538473012952788,20000.0
RR Lyrae,0.4529846503695281,0.662454273362155,0.5380511850901479,6014.0
SLSN,0.763514295636069,0.6596,0.7077632920221042,20000.0
SNI91bg,0.5529210601310914,0.7904986962190352,0.6507026193111313,12272.0
SNII,0.45336489685492054,0.33515,0.3853960040247233,20000.0
SNIa,0.48341572653906284,0.57205,0.5240112670895642,20000.0
SNIax,0.32855644879412793,0.3912753912753913,0.35718356955580044,12012.0
SNIb/c,0.42137150466045276,0.31645,0.36145059965733867,20000.0
TDE,0.6902301857180225,0.52775,0.5981525558200159,20000.0
uLens,0.8944005380864302,0.7057184556189465,0.788935034114506,7537.0
accuracy,0.6164308210974582,0.6164308210974582,0.6164308210974582,0.6164308210974582
macro avg,0.5939197242887949,0.6346149557928973,0.6017595827259635,225430.0
weighted avg,0.6351396889050253,0.6164308210974582,0.618782394920131,225430.0
