,precision,recall,f1-score,support
AGN,0.9757864443782872,0.9833,0.9795288140658465,20000.0
CART,0.3170383076043453,0.3153255615581462,0.31617961511047754,3517.0
Cepheid,0.9747424393486208,0.9940688018979834,0.9843107643258663,5901.0
Delta Scuti,0.9584346672562458,0.979771725618714,0.9689857502095558,8849.0
Dwarf Novae,0.9423076923076923,0.9546379761558592,0.948432760364004,3439.0
EB,0.989365473236441,0.97685,0.9830679044959368,20000.0
ILOT,0.6128484848484849,0.7907413199874883,0.690521715378312,3197.0
KN,0.7643365424863959,0.9630801687763713,0.8522753792298716,1896.0
M-dwarf Flare,0.8512110726643599,0.9271356783919598,0.8875526157546603,796.0
PISN,0.9160294189274755,0.94035,0.9280303964866399,20000.0
RR Lyrae,0.9426269932599046,0.9534419687396076,0.9480036372654377,6014.0
SLSN,0.9207532365633582,0.82145,0.8682715429537827,20000.0
SNI91bg,0.7912024725077266,0.8970013037809648,0.8407867099484437,12272.0
SNII,0.7081576535288726,0.57945,0.6373710985838031,20000.0
SNIa,0.7065577490356252,0.77845,0.7407636493398359,20000.0
SNIax,0.5085290827740492,0.6055611055611055,0.5528195774433805,12012.0
SNIb/c,0.626835525956657,0.57415,0.5993371434536392,20000.0
TDE,0.9328327291558778,0.90065,0.9164589163062834,20000.0
uLens,0.9712123259899986,0.9534297465835213,0.9622388859132298,7537.0
accuracy,0.8264871578760591,0.8264871578760591,0.8264871578760591,0.8264871578760591
macro avg,0.8110951743068643,0.8362550187921959,0.8213124671910003,225430.0
weighted avg,0.8295622802213249,0.8264871578760591,0.826223313482884,225430.0
