,precision,recall,f1-score,support
AGN,0.17893066164071025,0.45095,0.25620339464526665,20000.0
CART,0.009070294784580499,0.0011373329542223485,0.00202122283981809,3517.0
Cepheid,0.0,0.0,0.0,5901.0
Delta Scuti,0.0,0.0,0.0,8849.0
Dwarf Novae,0.0,0.0,0.0,3439.0
EB,0.0,0.0,0.0,20000.0
ILOT,0.09945184025058731,0.039724741945573974,0.05677246312025033,3197.0
KN,0.0,0.0,0.0,1896.0
M-dwarf Flare,0.0,0.0,0.0,796.0
PISN,0.09739670046919933,0.19305,0.12947251936554777,20000.0
RR Lyrae,0.0,0.0,0.0,6014.0
SLSN,0.10981072908500392,0.3922,0.17158106571003587,20000.0
SNI91bg,0.46915351506456243,0.026646023468057365,0.05042794355771455,12272.0
SNII,0.07692307692307693,0.0001,0.00019974033756117049,20000.0
SNIa,0.0,0.0,0.0,20000.0
SNIax,0.0,0.0,0.0,12012.0
SNIb/c,0.0,0.0,0.0,20000.0
TDE,0.061723973256924546,0.02585,0.03643924443191429,20000.0
uLens,0.14188896628325082,1.0,0.24851622263255077,7537.0
accuracy,0.12969879785299207,0.12969879785299207,0.12969879785299207,0.12969879785299207
macro avg,0.06549209251357346,0.11208726833515019,0.05008599034950839,225430.0
weighted avg,0.07839426723721764,0.12969879785299207,0.06458079221244467,225430.0
