,precision,recall,f1-score,support
AGN,1.0,0.735,0.8472622478386167,1000.0
Fast,0.8589942975635044,0.8730242360379347,0.8659524431669715,3796.0
Long,0.8343984440122256,0.6006,0.698453308524247,5000.0
Periodic,0.9927942353883107,0.93,0.9603717568090874,4000.0
SN,0.6708473093189441,0.92,0.7759129628067808,5000.0
accuracy,0.8178335816131092,0.8178335816131092,0.8178335816131092,0.8178335816131092
macro avg,0.871406857256597,0.811724847207587,0.8295905438291407,18796.0
weighted avg,0.8383777432304828,0.8178335816131092,0.8165426742919731,18796.0
