,precision,recall,f1-score,support
AGN,0.9763721749339594,0.99795,0.9870431729390238,20000.0
Fast,0.9501758499413834,0.9487854843429909,0.9494801581490702,13668.0
Long,0.9364283870183912,0.9242587762688491,0.9303037846727167,66714.0
Periodic,0.9869312799086647,0.9966882543420665,0.9917857709536073,40764.0
SN,0.9448212888077224,0.9452921076360875,0.9450566395824684,84284.0
accuracy,0.9532449097280752,0.9532449097280752,0.9532449097280752,0.9532449097280752
macro avg,0.9589457961220242,0.9625949245179989,0.9607339052593773,225430.0
weighted avg,0.953075964278445,0.9532449097280752,0.9531338061870168,225430.0
