,precision,recall,f1-score,support
AGN,0.9930209371884346,0.996,0.9945082376435347,1000.0
Fast,0.9794227685729556,0.9654899894625922,0.9724064738657469,3796.0
Long,0.9431742508324085,0.8498,0.8940557601262493,5000.0
Periodic,0.994495871903928,0.99375,0.9941227960485182,4000.0
SN,0.8534871147954587,0.9472,0.8979050146933358,5000.0
accuracy,0.9374866992977229,0.9374866992977229,0.9374866992977229,0.9374866992977229
macro avg,0.9527201886586371,0.9504479978925184,0.9505996564754768,18796.0
weighted avg,0.9402106875104502,0.9374866992977229,0.9375430022733511,18796.0
