,precision,recall,f1-score,support
AGN,0.9988700564971752,0.884,0.9379310344827586,1000.0
Fast,0.9031331592689295,0.9112223393045311,0.9071597167584579,3796.0
Long,0.8881764555014107,0.6926,0.7782896954714013,5000.0
Periodic,0.9953440248318676,0.962,0.9783879989829647,4000.0
SN,0.7332172260924635,0.9262,0.8184870979144574,5000.0
accuracy,0.8664077463290062,0.8664077463290062,0.8664077463290062,0.8664077463290062
macro avg,0.9037481844383694,0.8752044678609062,0.884051108722008,18796.0
weighted avg,0.8786714213864052,0.8664077463290062,0.8660856183315075,18796.0
