,precision,recall,f1-score,support
AGN,0.992964824120603,0.988,0.9904761904761905,1000.0
Fast,0.9627145922746781,0.9454689146469969,0.9540138224348751,3796.0
Long,0.9318443472254202,0.8094,0.8663170287916087,5000.0
Periodic,0.9962149886449659,0.987,0.9915860856461133,4000.0
SN,0.8155019941043871,0.9406,0.8735952447292653,5000.0
accuracy,0.9190785273462438,0.9190785273462438,0.9190785273462438,0.9190785273462438
macro avg,0.9398481492740111,0.9340937829293994,0.9351976744156106,18796.0
weighted avg,0.9240807127912419,0.9190785273462438,0.9192284725807512,18796.0
