,precision,recall,f1-score,support
AGN,0.9347672279609452,0.9909,0.9620154850610422,20000.0
Fast,0.8574710993035112,0.8737196371085748,0.8655191157818445,13668.0
Long,0.9063255311029131,0.8543484126270348,0.8795697597259301,66714.0
Periodic,0.9659837742844074,0.9843489353350996,0.9750798877319174,40764.0
SN,0.9026608442503639,0.9197000616961701,0.9111007939632931,84284.0
accuracy,0.9155791154682162,0.9155791154682162,0.9155791154682162,0.9155791154682162
macro avg,0.9134416953804282,0.9246034093533758,0.9186570084528054,225430.0
weighted avg,0.9153044856417791,0.9155791154682162,0.9150921252184221,225430.0
