,precision,recall,f1-score,support
AGN,0.9988938053097345,0.903,0.9485294117647058,1000.0
Fast,0.8953861337281026,0.9560063224446786,0.9247037839215186,3796.0
Long,0.8906805786103865,0.7512,0.8150157317999349,5000.0
Periodic,0.9989669421487604,0.967,0.9827235772357723,4000.0
SN,0.7883478260869565,0.9066,0.8433488372093023,5000.0
accuracy,0.8879016812087678,0.8879016812087678,0.8879016812087678,0.8879016812087678
macro avg,0.914455057176788,0.8967612644889357,0.9028642683862469,18796.0
weighted avg,0.8932107555343355,0.8879016812087678,0.8874985172121763,18796.0
