,precision,recall,f1-score,support
AGN,0.9218767108288624,0.84195,0.8801024408090733,20000.0
Fast,0.8116160096298526,0.7892888498683055,0.8002967359050445,13668.0
Long,0.8203561763705012,0.7588362262793417,0.7883978976056064,66714.0
Periodic,0.9470277596037013,0.9942351094102639,0.9700574437529919,40764.0
SN,0.825781905667767,0.8755635707844905,0.8499444281280053,84284.0
accuracy,0.8542651820964379,0.8542651820964379,0.8542651820964379,0.8542651820964379
macro avg,0.8653317124201368,0.8519747512684803,0.8577597892401443,225430.0
weighted avg,0.8537674023704345,0.8542651820964379,0.8531154671555684,225430.0
