,precision,recall,f1-score,support
AGN,0.9319939836699613,0.8675,0.8985912575098405,20000.0
Fast,0.8577169796738542,0.811969563944981,0.8342165595519976,13668.0
Long,0.8364039160110117,0.7696435530773151,0.8016361833836835,66714.0
Periodic,0.9516742591461983,0.9942105779609459,0.9724775044991002,40764.0
SN,0.8325695216907675,0.888045180579944,0.859413034492261,84284.0
accuracy,0.8657676440580224,0.8657676440580224,0.8657676440580224,0.8657676440580224
macro avg,0.8820717320383586,0.8662737751126374,0.8732669078873766,225430.0
weighted avg,0.865587301026307,0.8657676440580224,0.8647078677059825,225430.0
