,precision,recall,f1-score,support
AGN,0.9608561511762437,0.9966,0.978401727861771,20000.0
Fast,0.9161998981595985,0.9214954638571846,0.9188400510669341,13668.0
Long,0.9247180596323189,0.8972179752375813,0.9107604759441283,66714.0
Periodic,0.9789300331791432,0.9915857128839172,0.9852172323441594,40764.0
SN,0.9282130996961775,0.9351952921076361,0.9316911147622369,84284.0
accuracy,0.938770349997782,0.938770349997782,0.938770349997782,0.938770349997782
macro avg,0.9417834483686963,0.9484188888172639,0.9449821203958461,225430.0
weighted avg,0.9385175026801579,0.938770349997782,0.9385408505667061,225430.0
